,Unnamed: 0,datetime,city,state,country,shape,duration (seconds)
1816,49757,2007-06-17 19:30:00,merrick,ny,us,oval,120.0
1817,49801,2011-06-17 21:30:00,cicero,ny,us,fireball,120.0
1818,49850,1995-06-18 00:35:00,croton falls,ny,us,oval,600.0
1819,49864,1999-06-18 17:15:00,new york city,ny,us,disk,60.0
1820,49865,1999-06-18 20:17:00,vestal,ny,us,cylinder,180.0
1821,49868,2000-06-18 04:30:00,sunnyside,ny,us,light,180.0
1822,49870,2000-06-18 23:06:00,monroe,ny,us,rectangle,60.0
1823,49874,2001-06-18 16:50:00,new york city,ny,us,cigar,900.0
1824,49916,2005-06-18 14:00:00,franklin square,ny,us,disk,1200.0
1825,49924,2005-06-18 22:55:00,edinburgh,ny,,light,2100.0
1826,49925,2005-06-18 23:50:00,ithaca,ny,us,oval,120.0
1827,49959,2008-06-18 10:30:00,new york city (brooklyn),ny,us,unknown,180.0
1828,49975,2009-06-18 21:40:00,cornwall-on-hudson,ny,us,unknown,3.0
1829,50001,2011-06-18 23:00:00,bethpage,ny,us,oval,360.0
1830,50002,2011-06-18 23:00:00,bethpage,ny,us,oval,360.0
1831,50064,2000-06-19 18:30:00,new york city,ny,us,triangle,45.0
1832,50089,2003-06-19 22:06:00,camden,ny,us,light,120.0
1833,50119,2005-06-19 15:30:00,bethel,ny,us,sphere,5.0
1834,50183,2009-06-19 08:44:00,new york city (brooklyn),ny,us,cigar,1800.0
1835,50204,2010-06-19 22:50:00,watertown,ny,us,other,300.0
1836,50212,2011-06-19 21:30:00,new york city (brooklyn),ny,us,fireball,240.0
1837,50215,2011-06-19 23:00:00,albany,ny,us,fireball,60.0
1838,50276,1977-06-20 20:30:00,accord,ny,us,triangle,1200.0
1839,50282,1979-06-20 20:00:00,valley cottage,ny,us,disk,1200.0
1840,50283,1979-06-20 23:30:00,bohemia,ny,us,light,180.0
1841,50289,1982-06-20 22:00:00,harpursville,ny,us,triangle,1200.0
1842,50331,1997-06-20 21:00:00,holland patent,ny,us,circle,5.0
1843,50343,1998-06-20 22:30:00,rochester,ny,us,chevron,120.0
1844,50422,2006-06-20 10:45:00,new york city (queens),ny,us,unknown,3600.0
1845,50442,2007-06-20 21:23:00,newburgh,ny,us,light,45.0
1846,50542,2012-06-20 22:20:00,tonawanda,ny,us,fireball,90.0
1847,50563,2013-06-20 22:00:00,patchogue,ny,us,light,30.0
1848,50575,1968-06-21 20:30:00,upper lisle,ny,us,triangle,120.0
1849,50576,1969-06-21 23:00:00,ronkonkoma,ny,us,unknown,3600.0
1850,50581,1978-06-21 03:00:00,albany,ny,us,fireball,20.0
1851,50586,1992-06-21 21:00:00,conesus,ny,us,unknown,120.0
1852,50597,1997-06-21 11:28:00,ticonderoga,ny,us,triangle,300.0
1853,50639,2004-06-21 09:30:00,richmond hill,ny,us,disk,5.0
1854,50650,2005-06-21 19:00:00,new york city (bronx),ny,us,changing,900.0
1855,50657,2006-06-21 00:03:00,troy,ny,us,other,480.0
1856,50659,2006-06-21 18:50:00,west islip,ny,us,unknown,25.0
1857,50688,2008-06-21 18:45:00,new york city (manhattan),ny,us,,120.0
1858,50693,2008-06-21 22:30:00,shoreham,ny,us,circle,3.0
1859,50714,2010-06-21 01:00:00,new york city (brooklyn),ny,us,light,5.0
1860,50748,2012-06-21 22:00:00,binghamton,ny,us,light,600.0
1861,50769,2013-06-21 22:38:00,salamanca,ny,us,sphere,240.0
1862,50797,2001-06-02 19:00:00,long island (above),ny,,changing,10.0
1863,50808,2002-06-02 22:12:00,highland,ny,us,circle,900.0
1864,50848,2008-06-02 10:30:00,cold spring,ny,us,light,60.0
